layer,R_mean,R_median,T_mean,T_median,B_mean,B_median,G_mean,G_median,M_mean,M_median,n_samples,G_positive_count,G_positive_pct,M_positive_count,M_positive_pct,total_samples,coverage_pct,bootstrap_unit,n_bootstrap_units,bootstrap_reps,bootstrap_seed,G_ci95_low,G_ci95_high,G_valid_bootstrap_reps,M_ci95_low,M_ci95_high,M_valid_bootstrap_reps
0,0.8536786019802094,0.8621581792831421,0.1431372188555542,0.1331130489706993,0.15609595152258404,0.14414500445127487,-0.012958732667029838,-0.008352972567081451,-0.7105413831246551,-0.7240247577428818,400,55,13.75,0,0.0,400,100.0,pair_id,25,5000,2025,-0.015748028180823898,-0.010252078770252415,5000,-0.7265356914020958,-0.6943242540879292,5000
1,0.8166853871941566,0.8186536431312561,0.17080909640528258,0.16000351309776306,0.2038424218818545,0.18805940449237818,-0.033033325476571916,-0.027369327843189253,-0.645876290788874,-0.6527193188667297,400,6,1.5,0,0.0,400,100.0,pair_id,25,5000,2025,-0.038132370211184034,-0.02841867410764098,5000,-0.6604333709992933,-0.630594663456548,5000
2,0.7778887712955475,0.7799054384231567,0.22181027669459577,0.21637758612632751,0.26293786019086834,0.255355566740036,-0.041127583496272574,-0.03626731038093564,-0.5560784946009517,-0.5589577555656433,400,9,2.25,0,0.0,400,100.0,pair_id,25,5000,2025,-0.046388457882218063,-0.03634355894895271,5000,-0.570307228280697,-0.5415855307281018,5000
3,0.7338539104908705,0.7354364693164825,0.23095183625817295,0.2263204678893089,0.30160321723669764,0.29671706259250635,-0.07065138097852469,-0.06519873440265654,-0.5029020742326975,-0.5033814311027527,400,3,0.75,0,0.0,400,100.0,pair_id,25,5000,2025,-0.07908274927083403,-0.06285532316751781,5000,-0.5192610109196977,-0.4857612287234515,5000
4,0.7188716086745263,0.7209385931491852,0.2904054452478885,0.289029136300087,0.32532480102032424,0.32115527987480164,-0.03491935577243566,-0.03230886161327359,-0.4284661634266376,-0.4235338419675827,400,37,9.25,0,0.0,400,100.0,pair_id,25,5000,2025,-0.040919252408668394,-0.029156241678632795,5000,-0.4445711968522519,-0.41190255324076863,5000
5,0.6804474697262048,0.6804055273532867,0.2817870574444532,0.28106915950775146,0.30450126979500053,0.30186015367507935,-0.022714212350547314,-0.021429598331451444,-0.39866041228175164,-0.3938882499933243,400,69,17.25,0,0.0,400,100.0,pair_id,25,5000,2025,-0.02842685819976032,-0.017165518468245863,5000,-0.41581456275377426,-0.38073026450071484,5000
6,0.6506801354140044,0.6481213867664337,0.2644951961562037,0.26391407847404474,0.29058579292148345,0.28715232014656067,-0.02609059676527977,-0.024014882743358598,-0.38618493925780056,-0.3841867223381996,400,47,11.75,0,0.0,400,100.0,pair_id,25,5000,2025,-0.03132957688812167,-0.021208355933427812,5000,-0.4028050433397293,-0.3690235277200118,5000
7,0.6313503375649452,0.6275180876255035,0.27648769840598103,0.2757483273744583,0.28235279764980076,0.2807411253452301,-0.005865099243819711,-0.006136044859886142,-0.35486263915896415,-0.35071030259132385,400,137,34.25,0,0.0,400,100.0,pair_id,25,5000,2025,-0.009754960029385982,-0.002173996144905691,5000,-0.3711474982602522,-0.3381171605307609,5000
8,0.5949498354643583,0.5941073298454285,0.25513174969702956,0.253587931394577,0.25223417729139325,0.24880691617727274,0.0028975724056363116,0.002499215304851532,-0.33981808576732875,-0.33410339057445526,400,218,54.5,0,0.0,400,100.0,pair_id,25,5000,2025,-0.0013554571336135278,0.006865922135300936,5000,-0.356821994477883,-0.3224662523800507,5000
9,0.5567669695615769,0.5528464913368225,0.24563699617981907,0.2428374290466308,0.228760037086904,0.2255968376994133,0.016876959092915058,0.014012075960636139,-0.3111299733817578,-0.30132961273193365,400,305,76.25,0,0.0,400,100.0,pair_id,25,5000,2025,0.012205237260088321,0.021365902234800154,5000,-0.32806726009957493,-0.2939986525019631,5000
10,0.4976888183504343,0.49109897017478943,0.23889842633157965,0.23538982123136515,0.20292590517550704,0.19910930842161176,0.03597252115607262,0.03225123137235639,-0.2587903920188546,-0.25017271935939794,400,357,89.25,0,0.0,400,100.0,pair_id,25,5000,2025,0.029661675515584646,0.0419884181395173,5000,-0.2760444565918297,-0.241317716691643,5000
11,0.43978053353726865,0.4297837167978287,0.2375469027087092,0.23247325420379636,0.17358342844992872,0.17067052423954004,0.06396347425878048,0.057729497551918,-0.20223363082855939,-0.19261813163757324,400,389,97.25,10,2.5,400,100.0,pair_id,25,5000,2025,0.05640092004369945,0.07147094967216253,5000,-0.21903692003991454,-0.18405035087279978,5000
12,0.333386113345623,0.3218862116336822,0.23808981692418452,0.21507351100444788,0.12034105174243447,0.1145563460886478,0.11774876518175008,0.0956844873726368,-0.09529629642143846,-0.10690639168024066,400,391,97.75,76,19.0,400,100.0,pair_id,25,5000,2025,0.10823418722860516,0.1270037750964984,5000,-0.11125313870236277,-0.07892894607316706,5000
13,0.17928584675304587,0.1733380928635597,0.2311635202169418,0.15173411369323725,0.054621831146068826,0.044458387419581344,0.17654168907087298,0.1086534718051553,0.05187767346389593,-0.018718443810939817,400,391,97.75,158,39.5,400,100.0,pair_id,25,5000,2025,0.16187128981493878,0.19133966104686262,5000,0.03458242769609205,0.06912865176494234,5000
14,0.1591582239139825,0.1531689465045929,0.2660260872729122,0.2003935649991035,0.050854672673158303,0.04078139364719385,0.21517141459975395,0.15894653461873537,0.10686786335892975,0.048017859458923354,400,392,98.0,275,68.75,400,100.0,pair_id,25,5000,2025,0.20017609124816954,0.23036109980067704,5000,0.08983466238621622,0.1244652635816019,5000
15,0.14739278053864832,0.1402507275342941,0.2995840238779783,0.24567483365535736,0.0464645005902275,0.036374246701598154,0.2531195232877508,0.20939986221492296,0.15219124333932998,0.10422162711620331,400,392,98.0,328,82.0,400,100.0,pair_id,25,5000,2025,0.23725199012935627,0.2693950960589573,5000,0.13363454146729783,0.17184502619109118,5000
