layer_i,layer_j,block_i,block_j,source,adversarial,target,delta_adv_minus_source
0,1,embedding,early,0.9527467489242554,0.9504600167274476,0.9392595291137696,-0.0022867321968077503
0,2,embedding,early,0.8847498297691345,0.9067798256874084,0.8814190626144409,0.022029995918273926
0,3,embedding,early,0.7223019003868103,0.8074541687965393,0.7263593673706055,0.085152268409729
0,4,embedding,early,0.5713494420051575,0.7000716924667358,0.6136363744735718,0.12872225046157837
0,5,embedding,early,0.4858511090278625,0.6075073480606079,0.553196907043457,0.12165623903274542
0,6,embedding,early,0.4494906961917877,0.5603131055831909,0.5270137190818787,0.1108224093914032
0,7,embedding,early,0.451809674501419,0.5618652701377869,0.5323538184165955,0.11005559563636785
0,8,embedding,early,0.4507594406604767,0.5417195558547974,0.5367100238800049,0.09096011519432068
0,9,embedding,middle,0.4366834163665771,0.5021110773086548,0.5249868631362915,0.06542766094207769
0,10,embedding,middle,0.3540234565734863,0.3434070348739624,0.4420702755451202,-0.01061642169952387
0,11,embedding,middle,0.3251854181289673,0.3191139996051788,0.3923308849334717,-0.006071418523788508
0,12,embedding,middle,0.3229783475399017,0.2754426300525665,0.3820624947547912,-0.047535717487335205
0,13,embedding,middle,0.2926263809204101,0.2042752802371978,0.3529178202152252,-0.08835110068321231
0,14,embedding,middle,0.2578523159027099,0.1821486800909042,0.332718551158905,-0.0757036358118057
0,15,embedding,middle,0.2438658475875854,0.1535143405199051,0.3116407692432403,-0.0903515070676803
0,16,embedding,middle,0.2262498587369918,0.122711569070816,0.2913346290588379,-0.1035382896661758
0,17,embedding,deep,0.2053018659353256,0.0914968624711036,0.2773838341236114,-0.113805003464222
0,18,embedding,deep,0.1936339288949966,0.0818784832954406,0.2627682983875274,-0.11175544559955598
0,19,embedding,deep,0.18341626226902,0.0723791494965553,0.2645691037178039,-0.1110371127724647
0,20,embedding,deep,0.1431471705436706,0.0486109852790832,0.2637356519699096,-0.0945361852645874
0,21,embedding,deep,0.0763917341828346,0.0121999708935618,0.2625618278980255,-0.0641917632892728
0,22,embedding,deep,0.0904264748096466,0.0182642824947834,0.276965856552124,-0.0721621923148632
0,23,embedding,deep,0.0961676388978958,0.0191311929374933,0.2701247036457062,-0.0770364459604025
0,24,embedding,deep,0.1017813459038734,0.0203025192022323,0.27381032705307,-0.08147882670164111
1,2,early,early,0.9628931283950806,0.9651662111282348,0.971063494682312,0.002273082733154186
1,3,early,early,0.8357203602790833,0.8788288831710815,0.8546200394630432,0.04310852289199829
1,4,early,early,0.6914457678794861,0.7744238972663879,0.7415099740028381,0.08297812938690186
1,5,early,early,0.6010550856590271,0.6809048056602478,0.6747474074363708,0.0798497200012207
1,6,early,early,0.5599555373191833,0.6179103851318359,0.6440125107765198,0.05795484781265259
1,7,early,early,0.55748450756073,0.611444354057312,0.6427245736122131,0.05395984649658203
1,8,early,early,0.5549078583717346,0.5861948728561401,0.6453726291656494,0.03128701448440552
1,9,early,middle,0.5415183305740356,0.5401826500892639,0.633701503276825,-0.0013356804847717285
1,10,early,middle,0.4647727310657501,0.3873402178287506,0.5589880347251892,-0.07743251323699951
1,11,early,middle,0.4387551248073578,0.3548925817012787,0.5173915028572083,-0.0838625431060791
1,12,early,middle,0.4339120388031006,0.3039443790912628,0.5057967305183411,-0.12996765971183777
1,13,early,middle,0.4008868634700775,0.2211322337388992,0.474119484424591,-0.1797546297311783
1,14,early,middle,0.3595232963562011,0.1985932886600494,0.4430788159370422,-0.1609300076961517
1,15,early,middle,0.34119713306427,0.1726130545139312,0.4158808588981628,-0.16858407855033883
1,16,early,middle,0.3207312524318695,0.1391898095607757,0.3906957805156708,-0.1815414428710938
1,17,early,deep,0.2894724011421203,0.1069999411702156,0.3629929423332214,-0.1824724599719047
1,18,early,deep,0.2743874490261078,0.097148485481739,0.3415791690349579,-0.1772389635443688
1,19,early,deep,0.260149598121643,0.0881054922938346,0.3375838696956634,-0.1720441058278084
1,20,early,deep,0.2115472108125686,0.0614370629191398,0.324453055858612,-0.1501101478934288
1,21,early,deep,0.1319290548563003,0.0136786540970206,0.3157907724380493,-0.1182504007592797
1,22,early,deep,0.1482478976249694,0.0207486171275377,0.3298650979995727,-0.1274992804974317
1,23,early,deep,0.1554027646780014,0.0233072359114885,0.3254203200340271,-0.1320955287665129
1,24,early,deep,0.161207303404808,0.0256837271153926,0.3290331959724426,-0.1355235762894154
2,3,early,early,0.9344394207000732,0.9594531655311584,0.9398361444473268,0.025013744831085205
2,4,early,early,0.8314204216003418,0.8842347860336304,0.8546004295349121,0.052814364433288574
2,5,early,early,0.751733124256134,0.805287778377533,0.7930038571357727,0.053554654121398926
2,6,early,early,0.7131722569465637,0.7483483552932739,0.7616839408874512,0.035176098346710205
2,7,early,early,0.7046779990196228,0.7355189323425293,0.7525152564048767,0.030840933322906494
2,8,early,early,0.6994868516921997,0.7093077898025513,0.7495669722557068,0.009820938110351562
2,9,early,middle,0.6815841197967529,0.6610821485519409,0.7302374839782715,-0.02050197124481201
2,10,early,middle,0.6024084687232971,0.5035350322723389,0.6492891311645508,-0.09887343645095825
2,11,early,middle,0.565726101398468,0.4546573758125305,0.6026280522346497,-0.1110687255859375
2,12,early,middle,0.5456415414810181,0.3927939236164093,0.5799659490585327,-0.15284761786460876
2,13,early,middle,0.5060274600982666,0.2996528446674347,0.5395722389221191,-0.2063746154308319
2,14,early,middle,0.4592174589633941,0.2594806253910064,0.5020912289619446,-0.1997368335723877
2,15,early,middle,0.4301406145095825,0.2215887755155563,0.4656904935836792,-0.2085518389940262
2,16,early,middle,0.4094680547714233,0.1754105389118194,0.4411916732788086,-0.23405751585960388
2,17,early,deep,0.3761497437953949,0.1347305029630661,0.4112614691257477,-0.2414192408323288
2,18,early,deep,0.365196168422699,0.1213813498616218,0.3902137577533722,-0.24381481856107717
2,19,early,deep,0.3516603708267212,0.1102730110287666,0.3846224844455719,-0.2413873597979546
2,20,early,deep,0.3263728618621826,0.0790816694498062,0.3786610066890716,-0.2472911924123764
2,21,early,deep,0.2452782541513443,0.0188163332641124,0.3600682914257049,-0.2264619208872319
2,22,early,deep,0.2646834552288055,0.0265292152762413,0.3778139352798462,-0.23815423995256418
2,23,early,deep,0.2725900411605835,0.0302334763109684,0.3771372735500335,-0.2423565648496151
2,24,early,deep,0.2780207991600036,0.0337890647351741,0.3801428973674774,-0.2442317344248295
3,4,early,early,0.960464894771576,0.9714411497116088,0.9689752459526062,0.010976254940032737
3,5,early,early,0.9043332934379578,0.9244197010993958,0.9280117750167848,0.02008640766143799
3,6,early,early,0.8624358177185059,0.8793135285377502,0.8927978277206421,0.016877710819244385
3,7,early,early,0.8398680686950684,0.8614018559455872,0.8708666563034058,0.0215337872505188
3,8,early,early,0.8309321999549866,0.8345529437065125,0.8573880195617676,0.003620743751525879
