region,n_layer_pairs,source_mean,source_median,source_min,source_max,source_strong_fraction,adversarial_mean,adversarial_median,adversarial_min,adversarial_max,adversarial_strong_fraction,target_mean,target_median,target_min,target_max,target_strong_fraction,delta_mean,delta_median,delta_abs_mean,delta_abs_median,delta_min,delta_max,decreased_count,increased_count,unchanged_count,decreased_fraction
all_off_diagonal,300,0.6518648101389408,0.6293142139911652,0.0763917341828346,0.9977160096168518,0.30333333333333334,0.43278194952135285,0.3827805519104004,0.0121999708935618,0.996052622795105,0.19,0.6529375899831454,0.6229726374149323,0.2625618278980255,0.9964371919631958,0.2866666666666667,-0.21908286061758797,-0.18200695142149925,0.2281944011338055,0.18200695142149925,-0.583387166261673,0.12872225046157837,273,27,0,0.91
within_embedding,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,
embedding_to_early,8,0.621132355183363,0.52860027551651,0.4494906961917877,0.9527467489242554,0.25,0.7045213729143143,0.6537895202636719,0.5417195558547974,0.9504600167274476,0.375,0.6637436002492905,0.5834166407585144,0.5270137190818787,0.9392595291137696,0.25,0.08338901773095134,0.10050785541534427,0.08396070078015327,0.10050785541534427,-0.0022867321968077503,0.12872225046157837,1,7,0,0.125
embedding_to_middle,8,0.30743313021957874,0.3078023642301559,0.2262498587369918,0.4366834163665771,0.0,0.2628405764698982,0.23985895514488215,0.122711569070816,0.5021110773086548,0.0,0.3787577860057354,0.36749015748500824,0.2913346290588379,0.5249868631362915,0.0,-0.0445925537496805,-0.06161967664957045,0.06094946898519992,0.0705656483769417,-0.1035382896661758,0.06542766094207769,7,1,0,0.875
embedding_to_deep,8,0.13628330267965788,0.122464258223772,0.0763917341828346,0.2053018659353256,0.0,0.04553293075878169,0.03445675224065775,0.0121999708935618,0.0914968624711036,0.0,0.2689899504184723,0.26734690368175507,0.2625618278980255,0.2773838341236114,0.0,-0.0907503719208762,-0.08800750598311426,0.0907503719208762,0.08800750598311426,-0.113805003464222,-0.0641917632892728,8,0,0,1.0
within_early,28,0.8371020087174007,0.8833845555782318,0.5549078583717346,0.9911901950836182,0.6785714285714286,0.8582380350146975,0.8935608565807343,0.5861948728561401,0.991146981716156,0.7142857142857143,0.863019157733236,0.9017577767372131,0.6427245736122131,0.9894527196884156,0.6785714285714286,0.02113602629729678,0.01392698287963856,0.0240000124488558,0.01392698287963856,-0.010973691940307728,0.08297812938690186,9,19,0,0.32142857142857145
early_to_middle,64,0.6584652974270284,0.6494725346565247,0.3207312524318695,0.9853835105895996,0.234375,0.49461003323085606,0.4599626213312149,0.1391898095607757,0.9760147333145142,0.125,0.6589595219120383,0.6394674181938171,0.3906957805156708,0.9818705320358276,0.203125,-0.16385526419617236,-0.16242428123950958,0.16385526419617236,0.16242428123950958,-0.3725081682205201,-0.0013356804847717285,64,0,0,1.0
early_to_deep,64,0.4474873498547822,0.4960157424211502,0.1319290548563003,0.6271232962608337,0.0,0.08491351905104236,0.059692896902561146,0.0136786540970206,0.2040187716484069,0.0,0.4408065117895603,0.44143497943878174,0.3157907724380493,0.5875656008720398,0.0,-0.36257383080373984,-0.3863241672515869,0.36257383080373984,0.3863241672515869,-0.5056260377168655,-0.1182504007592797,64,0,0,1.0
within_middle,28,0.8971631165061679,0.9205428063869476,0.7112246751785278,0.9803785681724548,0.8214285714285714,0.686055706015655,0.7141683995723724,0.3011033535003662,0.9373213052749634,0.32142857142857145,0.8880420795508793,0.9113079905509949,0.6894034147262573,0.978499174118042,0.8214285714285714,-0.21110741049051285,-0.19601896405220037,0.21110741049051285,0.19601896405220037,-0.4473883807659149,-0.039806723594665416,28,0,0,1.0
middle_to_deep,64,0.7024720413610339,0.6543479561805725,0.519485354423523,0.9705026745796204,0.25,0.32466415903763846,0.2954724431037902,0.0406475029885768,0.922026753425598,0.0625,0.6854856535792351,0.6321854591369629,0.5037315487861633,0.9701700806617736,0.21875,-0.37780788232339546,-0.43476478010416036,0.37780788232339546,0.43476478010416036,-0.583387166261673,-0.04847592115402233,64,0,0,1.0
