layer,R,T,B,G
0,0.8536786019802094,0.1431372188555542,0.15609595152258404,-0.0129587326670298
1,0.8166853871941566,0.17080909640528258,0.2038424218818545,-0.033033325476571875
2,0.7778887712955475,0.22181027669459577,0.26293786019086834,-0.04112758349627252
3,0.7338539104908705,0.23095183625817295,0.30160321723669764,-0.07065138097852464
4,0.7188716086745263,0.2904054452478885,0.32532480102032424,-0.03491935577243563
5,0.6804474697262048,0.2817870574444532,0.30450126979500053,-0.022714212350547283
6,0.6506801354140044,0.2644951961562037,0.29058579292148345,-0.026090596765279736
7,0.6313503375649452,0.27648769840598103,0.28235279764980076,-0.005865099243819696
8,0.5949498354643583,0.25513174969702956,0.25223417729139325,0.002897572405636305
9,0.5567669695615769,0.24563699617981907,0.228760037086904,0.016876959092915037
10,0.4976888183504343,0.23889842633157965,0.20292590517550704,0.03597252115607258
11,0.43978053353726865,0.2375469027087092,0.17358342844992872,0.06396347425878043
12,0.333386113345623,0.23808981692418452,0.12034105174243447,0.11774876518175002
13,0.17928584675304587,0.2311635202169418,0.054621831146068826,0.17654168907087292
14,0.1591582239139825,0.2660260872729122,0.050854672673158303,0.2151714145997539
15,0.14739278053864832,0.2995840238779783,0.0464645005902275,0.2531195232877507
16,0.1468742499593645,0.3465081917494535,0.051200278550386384,0.2953079131990671
17,0.15632596718147393,0.41893188435584305,0.06147658998146649,0.3574552943743765
18,0.16748217970132825,0.4678886464983225,0.07465876151807602,0.3932298849802464
19,0.18877642748877402,0.5386682598665357,0.09852942550554868,0.44013883436098694
20,0.22689792092889544,0.6504466531425714,0.1455428912118077,0.5049037619307637
21,0.3384795057401061,0.8791554327309131,0.2949653338640928,0.5841900988668204
22,0.31998040892183777,0.8637263265252113,0.27414396014064546,0.5895823663845658
23,0.33240195270627737,0.866294342726469,0.2861050048470497,0.5801893378794193
24,0.4076321844756603,0.8730047987401486,0.3609753830730915,0.5120294156670571
