layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Emb.,1.1920928955078125e-07,-0.0022867321968078613,0.022029995918273926,0.085152268409729,0.12872225046157837,0.12165623903274536,0.1108224093914032,0.1100555956363678,0.09096011519432068,0.06542766094207764,-0.010616421699523926,-0.006071418523788452,-0.047535717487335205,-0.08835110068321228,-0.07570363581180573,-0.09035150706768036,-0.10353828966617584,-0.11380500346422195,-0.11175544559955597,-0.11103711277246475,-0.0945361852645874,-0.06419176328927279,-0.0721621923148632,-0.07703644596040249,-0.08147882670164108
1,-0.0022867321968078613,-1.1920928955078125e-07,0.002273082733154297,0.04310852289199829,0.08297812938690186,0.0798497200012207,0.05795484781265259,0.05395984649658203,0.03128701448440552,-0.0013356804847717285,-0.07743251323699951,-0.0838625431060791,-0.12996765971183777,-0.17975462973117828,-0.16093000769615173,-0.16858407855033875,-0.18154144287109375,-0.18247245997190475,-0.17723896354436874,-0.17204410582780838,-0.1501101478934288,-0.11825040075927973,-0.12749928049743176,-0.13209552876651287,-0.13552357628941536
2,0.022029995918273926,0.002273082733154297,5.960464477539063e-08,0.025013744831085205,0.052814364433288574,0.053554654121398926,0.035176098346710205,0.030840933322906494,0.009820938110351562,-0.02050197124481201,-0.09887343645095825,-0.1110687255859375,-0.15284761786460876,-0.2063746154308319,-0.1997368335723877,-0.20855183899402618,-0.23405751585960388,-0.2414192408323288,-0.24381481856107712,-0.24138735979795456,-0.2472911924123764,-0.22646192088723183,-0.23815423995256424,-0.2423565648496151,-0.24423173442482948
3,0.085152268409729,0.04310852289199829,0.025013744831085205,-1.1920928955078125e-07,0.010976254940032959,0.02008640766143799,0.016877710819244385,0.0215337872505188,0.003620743751525879,-0.0229872465133667,-0.10483866930007935,-0.13798224925994873,-0.17249152064323425,-0.21556678414344788,-0.23703652620315552,-0.24732598662376404,-0.28833508491516113,-0.3000827431678772,-0.3084133267402649,-0.3056635856628418,-0.3356550261378288,-0.34067569114267826,-0.35325847938656807,-0.3554180935025215,-0.35451045632362366
4,0.12872225046157837,0.08297812938690186,0.052814364433288574,0.010976254940032959,-1.1920928955078125e-07,-0.001494765281677246,-0.007105767726898193,-0.002410590648651123,-0.010973691940307617,-0.0251123309135437,-0.0937151312828064,-0.13201069831848145,-0.15586471557617188,-0.20292505621910095,-0.24381199479103088,-0.259467214345932,-0.3125145733356476,-0.33471518754959106,-0.3506849855184555,-0.34972280263900757,-0.40494000911712646,-0.41038156673312187,-0.428196731954813,-0.4291057512164116,-0.4265310764312744
5,0.12165623903274536,0.0798497200012207,0.053554654121398926,0.02008640766143799,-0.001494765281677246,-5.960464477539063e-08,-0.006308376789093018,-0.0036351680755615234,-0.005747973918914795,-0.01463860273361206,-0.07248854637145996,-0.12141650915145874,-0.1360410451889038,-0.1754150688648224,-0.22926485538482666,-0.2540788948535919,-0.3171885907649994,-0.34399089217185974,-0.36645737290382385,-0.3667004406452179,-0.43841540813446045,-0.4453379325568676,-0.46638110280036926,-0.46571066975593567,-0.4618586525321007
6,0.1108224093914032,0.05795484781265259,0.035176098346710205,0.016877710819244385,-0.007105767726898193,-0.006308376789093018,0.0,0.00017774105072021484,-0.001120924949645996,-0.00706106424331665,-0.06453442573547363,-0.11775553226470947,-0.13046926259994507,-0.16391855478286743,-0.22289994359016418,-0.25783446431159973,-0.32879991829395294,-0.36127498745918274,-0.3879545331001282,-0.3907540589570999,-0.47047021985054016,-0.4638630263507366,-0.4886867180466652,-0.48954101651906967,-0.486364658921957
7,0.1100555956363678,0.05395984649658203,0.030840933322906494,0.0215337872505188,-0.002410590648651123,-0.0036351680755615234,0.00017774105072021484,5.960464477539063e-08,-0.0012985467910766602,-0.008348345756530762,-0.0646786093711853,-0.1213563084602356,-0.13535350561141968,-0.17212533950805664,-0.23519092798233032,-0.2755303680896759,-0.3500182330608368,-0.38469380140304565,-0.4127715975046158,-0.41371387243270874,-0.4868757650256157,-0.4624609462916851,-0.4900175482034683,-0.49137618765234947,-0.48877186328172684
8,0.09096011519432068,0.03128701448440552,0.009820938110351562,0.003620743751525879,-0.010973691940307617,-0.005747973918914795,-0.001120924949645996,-0.0012985467910766602,0.0,-0.00936877727508545,-0.0626901388168335,-0.12417292594909668,-0.14437121152877808,-0.1836322546005249,-0.25089749693870544,-0.29528212547302246,-0.37250816822052,-0.4091622829437256,-0.43734343349933624,-0.4370480626821518,-0.5043980702757835,-0.47258780524134636,-0.5024264380335808,-0.5056260377168655,-0.503382720053196
9,0.06542766094207764,-0.0013356804847717285,-0.02050197124481201,-0.0229872465133667,-0.0251123309135437,-0.01463860273361206,-0.00706106424331665,-0.008348345756530762,-0.00936877727508545,1.7881393432617188e-07,-0.04247617721557617,-0.10582911968231201,-0.14046168327331543,-0.19376152753829956,-0.27026689052581787,-0.3248371481895447,-0.4101213216781616,-0.4545326977968216,-0.4847918301820755,-0.4851462244987488,-0.549246534705162,-0.498911801725626,-0.5334475301206112,-0.5399771444499493,-0.53935631737113
10,-0.010616421699523926,-0.07743251323699951,-0.09887343645095825,-0.10483866930007935,-0.0937151312828064,-0.07248854637145996,-0.06453442573547363,-0.0646786093711853,-0.0626901388168335,-0.04247617721557617,-1.1920928955078125e-07,-0.08339661359786987,-0.12483847141265869,-0.2042924165725708,-0.29474830627441406,-0.35949158668518066,-0.4473883807659149,-0.5001622140407562,-0.5295812636613846,-0.5293365120887756,-0.583387166261673,-0.5106668844819069,-0.5507719479501247,-0.5600698962807655,-0.5601524040102959
11,-0.006071418523788452,-0.0838625431060791,-0.1110687255859375,-0.13798224925994873,-0.13201069831848145,-0.12141650915145874,-0.11775553226470947,-0.1213563084602356,-0.12417292594909668,-0.10582911968231201,-0.08339661359786987,5.960464477539063e-08,-0.03980672359466553,-0.15372353792190552,-0.2183869481086731,-0.30468952655792236,-0.39361506700515747,-0.4600258767604828,-0.49421432614326477,-0.49311262369155884,-0.5200556516647339,-0.443797342479229,-0.4797975495457649,-0.4903861880302429,-0.49273258447647095
12,-0.047535717487335205,-0.12996765971183777,-0.15284761786460876,-0.17249152064323425,-0.15586471557617188,-0.1360410451889038,-0.13046926259994507,-0.13535350561141968,-0.14437121152877808,-0.14046168327331543,-0.12483847141265869,-0.03980672359466553,-5.960464477539063e-08,-0.0932123064994812,-0.1727994680404663,-0.28107261657714844,-0.3751600384712219,-0.44874879717826843,-0.4817170202732086,-0.47935032844543457,-0.4856131374835968,-0.40536026656627655,-0.44126369059085846,-0.4522762894630432,-0.45522768795490265
13,-0.08835110068321228,-0.17975462973117828,-0.2063746154308319,-0.21556678414344788,-0.20292505621910095,-0.1754150688648224,-0.16391855478286743,-0.17212533950805664,-0.1836322546005249,-0.19376152753829956,-0.2042924165725708,-0.15372353792190552,-0.0932123064994812,0.0,-0.08317595720291138,-0.19827640056610107,-0.29560065269470215,-0.38635367155075073,-0.4141997992992401,-0.42826586961746216,-0.4434029459953308,-0.3674159497022629,-0.40519392490386963,-0.4192468076944351,-0.42340488731861115
14,-0.07570363581180573,-0.16093000769615173,-0.1997368335723877,-0.23703652620315552,-0.24381199479103088,-0.22926485538482666,-0.22289994359016418,-0.23519092798233032,-0.25089749693870544,-0.27026689052581787,-0.29474830627441406,-0.2183869481086731,-0.1727994680404663,-0.08317595720291138,-1.1920928955078125e-07,-0.07800859212875366,-0.16439199447631836,-0.2597309350967407,-0.2891470193862915,-0.30216747522354126,-0.31010380387306213,-0.2773838937282562,-0.30043932795524597,-0.3107796311378479,-0.3135793209075928
15,-0.09035150706768036,-0.16858407855033875,-0.20855183899402618,-0.24732598662376404,-0.259467214345932,-0.2540788948535919,-0.25783446431159973,-0.2755303680896759,-0.29528212547302246,-0.3248371481895447,-0.35949158668518066,-0.30468952655792236,-0.28107261657714844,-0.19827640056610107,-0.07800859212875366,1.1920928955078125e-07,-0.05717802047729492,-0.1279788613319397,-0.15032780170440674,-0.17628169059753418,-0.2058868408203125,-0.20901384949684143,-0.22891369462013245,-0.23740926384925842,-0.23776334524154663
16,-0.10353828966617584,-0.18154144287109375,-0.23405751585960388,-0.28833508491516113,-0.3125145733356476,-0.3171885907649994,-0.32879991829395294,-0.3500182330608368,-0.37250816822052,-0.4101213216781616,-0.4473883807659149,-0.39361506700515747,-0.3751600384712219,-0.29560065269470215,-0.16439199447631836,-0.05717802047729492,0.0,-0.04847592115402222,-0.0688665509223938,-0.09487724304199219,-0.12185180187225342,-0.1625417172908783,-0.17322999238967896,-0.1766405701637268,-0.17561233043670654
