layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Emb.,1.0000001192092896,0.9504600167274475,0.9067798256874084,0.8074541687965393,0.7000716924667358,0.6075073480606079,0.5603131055831909,0.5618652701377869,0.5417195558547974,0.5021110773086548,0.3434070348739624,0.31911399960517883,0.27544263005256653,0.20427528023719788,0.18214868009090424,0.1535143405199051,0.12271156907081604,0.09149686247110367,0.08187848329544067,0.07237914949655533,0.04861098527908325,0.01219997089356184,0.0182642824947834,0.019131192937493324,0.02030251920223236
1,0.9504600167274475,0.9999998807907104,0.9651662111282349,0.8788288831710815,0.7744238972663879,0.6809048056602478,0.6179103851318359,0.611444354057312,0.5861948728561401,0.5401826500892639,0.3873402178287506,0.3548925817012787,0.3039443790912628,0.22113223373889923,0.19859328866004944,0.17261305451393127,0.13918980956077576,0.1069999411702156,0.09714848548173904,0.08810549229383469,0.06143706291913986,0.013678654097020626,0.020748617127537727,0.023307235911488533,0.025683727115392685
2,0.9067798256874084,0.9651662111282349,1.0,0.9594531655311584,0.8842347860336304,0.805287778377533,0.7483483552932739,0.7355189323425293,0.7093077898025513,0.6610821485519409,0.5035350322723389,0.4546573758125305,0.3927939236164093,0.2996528446674347,0.25948062539100647,0.22158877551555634,0.17541053891181946,0.1347305029630661,0.12138134986162186,0.11027301102876663,0.07908166944980621,0.018816333264112473,0.026529215276241302,0.0302334763109684,0.03378906473517418
3,0.8074541687965393,0.8788288831710815,0.9594531655311584,0.9999998807907104,0.9714411497116089,0.9244197010993958,0.8793135285377502,0.8614018559455872,0.8345529437065125,0.785496711730957,0.6299406886100769,0.5516809225082397,0.47706738114356995,0.3843540847301483,0.3152482509613037,0.25910618901252747,0.19965457916259766,0.15117448568344116,0.1354580521583557,0.12554201483726501,0.09248975664377213,0.02227749489247799,0.031023066490888596,0.03500371426343918,0.03990519046783447
4,0.7000716924667358,0.7744238972663879,0.8842347860336304,0.9714411497116089,1.0,0.9790135025978088,0.9432750940322876,0.9262304306030273,0.9028869271278381,0.8598716259002686,0.721441924571991,0.6270424723625183,0.5439838767051697,0.44646111130714417,0.357326477766037,0.2903013527393341,0.22149845957756042,0.16592168807983398,0.14738346636295319,0.1381189525127411,0.10268551111221313,0.02505071833729744,0.0340249203145504,0.0386316254734993,0.04466646909713745
5,0.6075073480606079,0.6809048056602478,0.805287778377533,0.9244197010993958,0.9790135025978088,0.9999998807907104,0.9812590479850769,0.9665361642837524,0.946600079536438,0.9053747057914734,0.7781660556793213,0.665238082408905,0.581422746181488,0.4931239187717438,0.3857918977737427,0.30616238713264465,0.23065152764320374,0.17071661353111267,0.1500866711139679,0.14104768633842468,0.10664069652557373,0.026437390595674515,0.03576895594596863,0.040314167737960815,0.04708746820688248
6,0.5603131055831909,0.6179103851318359,0.7483483552932739,0.8793135285377502,0.9432750940322876,0.9812590479850769,1.0,0.991146981716156,0.9756717085838318,0.9396615028381348,0.8181927800178528,0.6997051239013672,0.6150758266448975,0.5348796248435974,0.41836944222450256,0.32767006754875183,0.24522165954113007,0.1797129213809967,0.15609639883041382,0.14486853778362274,0.10939887166023254,0.02841245010495186,0.03780540078878403,0.04236332327127457,0.04907143488526344
7,0.5618652701377869,0.611444354057312,0.7355189323425293,0.8614018559455872,0.9262304306030273,0.9665361642837524,0.991146981716156,0.9999999403953552,0.9898916482925415,0.958619236946106,0.8443762063980103,0.726301908493042,0.6415416598320007,0.5585234761238098,0.43807488679885864,0.34443339705467224,0.25751128792762756,0.18857240676879883,0.16330651938915253,0.15118873119354248,0.1143888309597969,0.03150208666920662,0.0413966029882431,0.04621807113289833,0.05279915779829025
8,0.5417195558547974,0.5861948728561401,0.7093077898025513,0.8345529437065125,0.9028869271278381,0.946600079536438,0.9756717085838318,0.9898916482925415,1.0,0.9760147333145142,0.8761775493621826,0.7600176930427551,0.674313485622406,0.588566780090332,0.4652678668498993,0.367550790309906,0.27647823095321655,0.20401877164840698,0.17634807527065277,0.1629147082567215,0.1227252259850502,0.036247748881578445,0.04639715701341629,0.05136243999004364,0.05794873088598251
9,0.5021110773086548,0.5401826500892639,0.6610821485519409,0.785496711730957,0.8598716259002686,0.9053747057914734,0.9396615028381348,0.958619236946106,0.9760147333145142,1.0000001192092896,0.9318048357963562,0.825851559638977,0.7355694770812988,0.638462483882904,0.5100634694099426,0.4018203616142273,0.3011033535003662,0.21955744922161102,0.1869150847196579,0.1708267331123352,0.12622781097888947,0.04064750298857689,0.05017438903450966,0.05508230999112129,0.0610903836786747
10,0.3434070348739624,0.3873402178287506,0.5035350322723389,0.6299406886100769,0.721441924571991,0.7781660556793213,0.8181927800178528,0.8443762063980103,0.8761775493621826,0.9318048357963562,1.0,0.8935083746910095,0.8091790080070496,0.6921786069869995,0.5568812489509583,0.4404795169830322,0.3342934548854828,0.24315789341926575,0.20771150290966034,0.18979734182357788,0.14230743050575256,0.05314304679632187,0.06238532438874245,0.06858106702566147,0.0739818885922432
