layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Emb.,1.0,0.9527467489242554,0.8847498297691345,0.7223019003868103,0.5713494420051575,0.48585110902786255,0.4494906961917877,0.45180967450141907,0.4507594406604767,0.43668341636657715,0.35402345657348633,0.3251854181289673,0.32297834753990173,0.29262638092041016,0.25785231590270996,0.24386584758758545,0.22624985873699188,0.20530186593532562,0.19363392889499664,0.18341626226902008,0.14314717054367065,0.07639173418283463,0.0904264748096466,0.09616763889789581,0.10178134590387344
1,0.9527467489242554,1.0,0.9628931283950806,0.8357203602790833,0.6914457678794861,0.6010550856590271,0.5599555373191833,0.55748450756073,0.5549078583717346,0.5415183305740356,0.4647727310657501,0.4387551248073578,0.4339120388031006,0.4008868634700775,0.35952329635620117,0.34119713306427,0.3207312524318695,0.28947240114212036,0.2743874490261078,0.26014959812164307,0.21154721081256866,0.13192905485630035,0.14824789762496948,0.1554027646780014,0.16120730340480804
2,0.8847498297691345,0.9628931283950806,0.9999999403953552,0.9344394207000732,0.8314204216003418,0.751733124256134,0.7131722569465637,0.7046779990196228,0.6994868516921997,0.6815841197967529,0.6024084687232971,0.565726101398468,0.5456415414810181,0.5060274600982666,0.45921745896339417,0.4301406145095825,0.40946805477142334,0.3761497437953949,0.365196168422699,0.3516603708267212,0.3263728618621826,0.2452782541513443,0.26468345522880554,0.2725900411605835,0.27802079916000366
3,0.7223019003868103,0.8357203602790833,0.9344394207000732,1.0,0.9604648947715759,0.9043332934379578,0.8624358177185059,0.8398680686950684,0.8309321999549866,0.8084839582443237,0.7347793579101562,0.6896631717681885,0.6495589017868042,0.5999208688735962,0.5522847771644592,0.5064321756362915,0.4879896640777588,0.45125722885131836,0.4438713788986206,0.4312056005001068,0.42814478278160095,0.36295318603515625,0.38428154587745667,0.3904218077659607,0.39441564679145813
4,0.5713494420051575,0.6914457678794861,0.8314204216003418,0.9604648947715759,1.0000001192092896,0.9805082678794861,0.9503808617591858,0.9286410212516785,0.9138606190681458,0.8849839568138123,0.8151570558547974,0.7590531706809998,0.6998485922813416,0.6493861675262451,0.6011384725570679,0.5497685670852661,0.534013032913208,0.500636875629425,0.4980684518814087,0.48784175515174866,0.5076255202293396,0.4354322850704193,0.4622216522693634,0.4677373766899109,0.47119754552841187
5,0.48585110902786255,0.6010550856590271,0.751733124256134,0.9043332934379578,0.9805082678794861,0.9999999403953552,0.9875674247741699,0.970171332359314,0.9523480534553528,0.9200133085250854,0.8506546020507812,0.7866545915603638,0.7174637913703918,0.6685389876365662,0.6150567531585693,0.5602412819862366,0.5478401184082031,0.5147075057029724,0.5165440440177917,0.5077481269836426,0.5450561046600342,0.4717753231525421,0.5021500587463379,0.5060248374938965,0.5089461207389832
6,0.4494906961917877,0.5599555373191833,0.7131722569465637,0.8624358177185059,0.9503808617591858,0.9875674247741699,1.0,0.9909692406654358,0.9767926335334778,0.9467225670814514,0.8827272057533264,0.8174606561660767,0.7455450892448425,0.6987981796264648,0.6412693858146667,0.5855045318603516,0.574021577835083,0.5409879088401794,0.544050931930542,0.5356225967407227,0.5798690915107727,0.4922754764556885,0.5264921188354492,0.5319043397903442,0.5354360938072205
7,0.45180967450141907,0.55748450756073,0.7046779990196228,0.8398680686950684,0.9286410212516785,0.970171332359314,0.9909692406654358,0.9999998807907104,0.9911901950836182,0.9669675827026367,0.9090548157691956,0.8476582169532776,0.7768951654434204,0.7306488156318665,0.673265814781189,0.6199637651443481,0.6075295209884644,0.5732662081718445,0.5760781168937683,0.5649026036262512,0.6012645959854126,0.4939630329608917,0.5314141511917114,0.5375942587852478,0.5415710210800171
8,0.4507594406604767,0.5549078583717346,0.6994868516921997,0.8309321999549866,0.9138606190681458,0.9523480534553528,0.9767926335334778,0.9911901950836182,1.0,0.9853835105895996,0.9388676881790161,0.8841906189918518,0.8186846971511841,0.7721990346908569,0.7161653637886047,0.6628329157829285,0.6489863991737366,0.6131810545921326,0.613691508769989,0.5999627709388733,0.6271232962608337,0.5088355541229248,0.5488235950469971,0.5569884777069092,0.5613314509391785
9,0.43668341636657715,0.5415183305740356,0.6815841197967529,0.8084839582443237,0.8849839568138123,0.9200133085250854,0.9467225670814514,0.9669675827026367,0.9853835105895996,0.9999999403953552,0.9742810130119324,0.9316806793212891,0.8760311603546143,0.8322240114212036,0.7803303599357605,0.726657509803772,0.7112246751785278,0.6740901470184326,0.6717069149017334,0.655972957611084,0.6754743456840515,0.5395593047142029,0.5836219191551208,0.5950594544410706,0.6004467010498047
10,0.35402345657348633,0.4647727310657501,0.6024084687232971,0.7347793579101562,0.8151570558547974,0.8506546020507812,0.8827272057533264,0.9090548157691956,0.9388676881790161,0.9742810130119324,1.0000001192092896,0.9769049882888794,0.9340174794197083,0.8964710235595703,0.8516295552253723,0.7999711036682129,0.7816818356513977,0.743320107460022,0.7372927665710449,0.7191338539123535,0.7256945967674255,0.5638099312782288,0.6131572723388672,0.628650963306427,0.6341342926025391
11,0.3251854181289673,0.4387551248073578,0.565726101398468,0.6896631717681885,0.7590531706809998,0.7866545915603638,0.8174606561660767,0.8476582169532776,0.8841906189918518,0.9316806793212891,0.9769049882888794,0.9999998807907104,0.9771280288696289,0.9469535946846008,0.9111542701721191,0.8679983615875244,0.8466439247131348,0.8040692806243896,0.7908526062965393,0.7669121026992798,0.7396840453147888,0.5530612468719482,0.6043931841850281,0.6232569217681885,0.6299774646759033
