layer,Emb.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Emb.,1.0000001192092896,0.9392595291137695,0.8814190626144409,0.7263593673706055,0.6136363744735718,0.553196907043457,0.5270137190818787,0.5323538184165955,0.5367100238800049,0.5249868631362915,0.44207027554512024,0.3923308849334717,0.38206249475479126,0.3529178202152252,0.33271855115890503,0.31164076924324036,0.2913346290588379,0.27738383412361145,0.26276829838752747,0.26456910371780396,0.26373565196990967,0.2625618278980255,0.276965856552124,0.2701247036457062,0.27381032705307007
1,0.9392595291137695,1.0000001192092896,0.971063494682312,0.8546200394630432,0.7415099740028381,0.6747474074363708,0.6440125107765198,0.6427245736122131,0.6453726291656494,0.633701503276825,0.5589880347251892,0.5173915028572083,0.5057967305183411,0.47411948442459106,0.44307881593704224,0.41588085889816284,0.3906957805156708,0.36299294233322144,0.3415791690349579,0.33758386969566345,0.32445305585861206,0.3157907724380493,0.32986509799957275,0.3254203200340271,0.3290331959724426
2,0.8814190626144409,0.971063494682312,0.9999998807907104,0.9398361444473267,0.8546004295349121,0.7930038571357727,0.7616839408874512,0.7525152564048767,0.7495669722557068,0.7302374839782715,0.6492891311645508,0.6026280522346497,0.5799659490585327,0.5395722389221191,0.5020912289619446,0.4656904935836792,0.4411916732788086,0.4112614691257477,0.3902137577533722,0.3846224844455719,0.37866100668907166,0.36006829142570496,0.3778139352798462,0.37713727355003357,0.3801428973674774
3,0.7263593673706055,0.8546200394630432,0.9398361444473267,1.0,0.9689752459526062,0.9280117750167847,0.8927978277206421,0.8708666563034058,0.8573880195617676,0.8280712366104126,0.7481889724731445,0.6982479095458984,0.6557993292808533,0.6047685742378235,0.5590283870697021,0.5103680491447449,0.48660388588905334,0.4528176188468933,0.4318883419036865,0.424391508102417,0.42874112725257874,0.4068813621997833,0.4274950325489044,0.4302406311035156,0.4320580065250397
4,0.6136363744735718,0.7415099740028381,0.8546004295349121,0.9689752459526062,1.0000001192092896,0.9831772446632385,0.9521368145942688,0.9316385984420776,0.9107177257537842,0.8710816502571106,0.7905733585357666,0.7352731227874756,0.6776016354560852,0.6217980980873108,0.5746617913246155,0.5228363275527954,0.5004925727844238,0.46804454922676086,0.4498980641365051,0.44123172760009766,0.44511425495147705,0.3975684940814972,0.4221285879611969,0.4277748465538025,0.42917028069496155
5,0.553196907043457,0.6747474074363708,0.7930038571357727,0.9280117750167847,0.9831772446632385,1.0000001192092896,0.9850837588310242,0.9671372771263123,0.9428243637084961,0.900645911693573,0.8185967803001404,0.7566360831260681,0.6895854473114014,0.630988359451294,0.5815028548240662,0.5256732702255249,0.5047808289527893,0.4729290306568146,0.4569794833660126,0.44900938868522644,0.46269840002059937,0.4071352481842041,0.43585205078125,0.4416382312774658,0.4429967999458313
6,0.5270137190818787,0.6440125107765198,0.7616839408874512,0.8927978277206421,0.9521368145942688,0.9850837588310242,1.0000001192092896,0.9894527196884155,0.9703208208084106,0.9332250952720642,0.8563318252563477,0.7930824756622314,0.7237259745597839,0.6649748086929321,0.6136850118637085,0.5550685524940491,0.53485107421875,0.5027092695236206,0.48794230818748474,0.4801376760005951,0.5002020001411438,0.4260129928588867,0.4596301019191742,0.4681209921836853,0.4704475402832031
7,0.5323538184165955,0.6427245736122131,0.7525152564048767,0.8708666563034058,0.9316385984420776,0.9671372771263123,0.9894527196884155,1.0000001192092896,0.9887503385543823,0.9589737057685852,0.8894672393798828,0.8281542658805847,0.7575879096984863,0.6980712413787842,0.6490289568901062,0.5923633575439453,0.570719301700592,0.5370809435844421,0.5215733051300049,0.5118488073348999,0.52597975730896,0.4324762225151062,0.46870502829551697,0.4781343638896942,0.4805441200733185
8,0.5367100238800049,0.6453726291656494,0.7495669722557068,0.8573880195617676,0.9107177257537842,0.9428243637084961,0.9703208208084106,0.9887503385543823,1.0,0.9818705320358276,0.926777720451355,0.8730979561805725,0.8084564805030823,0.7501179575920105,0.7016564607620239,0.6452333331108093,0.6227647662162781,0.5875656008720398,0.5691736340522766,0.5573816895484924,0.5662047863006592,0.45580780506134033,0.496057391166687,0.5067455172538757,0.5098122954368591
9,0.5249868631362915,0.633701503276825,0.7302374839782715,0.8280712366104126,0.8710816502571106,0.900645911693573,0.9332250952720642,0.9589737057685852,0.9818705320358276,1.0000001192092896,0.9690726399421692,0.9268696904182434,0.871494472026825,0.8168278932571411,0.770887553691864,0.7120738625526428,0.6894034147262573,0.6519647240638733,0.6324498653411865,0.6194897294044495,0.6319210529327393,0.5037315487861633,0.5483560562133789,0.5617555975914001,0.5658995509147644
10,0.44207027554512024,0.5589880347251892,0.6492891311645508,0.7481889724731445,0.7905733585357666,0.8185967803001404,0.8563318252563477,0.8894672393798828,0.926777720451355,0.9690726399421692,0.9999998807907104,0.9766232371330261,0.9330253601074219,0.884660542011261,0.8425480723381042,0.7850648760795593,0.7606354355812073,0.7198273539543152,0.6977601051330566,0.6820669770240784,0.6850193738937378,0.5170996785163879,0.5672638416290283,0.5856021642684937,0.5907138586044312
11,0.3923308849334717,0.5173915028572083,0.6026280522346497,0.6982479095458984,0.7352731227874756,0.7566360831260681,0.7930824756622314,0.8281542658805847,0.8730979561805725,0.9268696904182434,0.9766232371330261,1.0000001192092896,0.9741707444190979,0.935443103313446,0.8992419242858887,0.8517018556594849,0.8260781764984131,0.7809197306632996,0.7544761300086975,0.7336586713790894,0.7123845815658569,0.5230593681335449,0.5737912058830261,0.5944294333457947,0.599981963634491
12,0.38206249475479126,0.5057967305183411,0.5799659490585327,0.6557993292808533,0.6776016354560852,0.6895854473114014,0.7237259745597839,0.7575879096984863,0.8084564805030823,0.871494472026825,0.9330253601074219,0.9741707444190979,1.0,0.9727548360824585,0.9427446722984314,0.9038723111152649,0.87803715467453,0.8293758034706116,0.7985847592353821,0.7737005352973938,0.736442506313324,0.5400460958480835,0.5903854370117188,0.6109504699707031,0.6170332431793213
13,0.3529178202152252,0.47411948442459106,0.5395722389221191,0.6047685742378235,0.6217980980873108,0.630988359451294,0.6649748086929321,0.6980712413787842,0.7501179575920105,0.8168278932571411,0.884660542011261,0.935443103313446,0.9727548360824585,1.0,0.9757962226867676,0.9409050345420837,0.9187436699867249,0.8701565265655518,0.8370206952095032,0.8078609704971313,0.7558256387710571,0.5367858409881592,0.5909011960029602,0.61113440990448,0.6184984445571899
14,0.33271855115890503,0.44307881593704224,0.5020912289619446,0.5590283870697021,0.5746617913246155,0.5815028548240662,0.6136850118637085,0.6490289568901062,0.7016564607620239,0.770887553691864,0.8425480723381042,0.8992419242858887,0.9427446722984314,0.9757962226867676,1.0,0.9743713140487671,0.9536309838294983,0.9123485088348389,0.8819457292556763,0.8532494902610779,0.7953982353210449,0.5671569108963013,0.6194050908088684,0.641022801399231,0.6463994383811951
15,0.31164076924324036,0.41588085889816284,0.4656904935836792,0.5103680491447449,0.5228363275527954,0.5256732702255249,0.5550685524940491,0.5923633575439453,0.6452333331108093,0.7120738625526428,0.7850648760795593,0.8517018556594849,0.9038723111152649,0.9409050345420837,0.9743713140487671,1.0,0.978499174118042,0.9418923258781433,0.9112853407859802,0.876702606678009,0.7825080156326294,0.5176563858985901,0.5685481429100037,0.5928800702095032,0.5978460907936096
16,0.2913346290588379,0.3906957805156708,0.4411916732788086,0.48660388588905334,0.5004925727844238,0.5047808289527893,0.53485107421875,0.570719301700592,0.6227647662162781,0.6894034147262573,0.7606354355812073,0.8260781764984131,0.87803715467453,0.9187436699867249,0.9536309838294983,0.978499174118042,1.0,0.9701700806617737,0.9417627453804016,0.90658038854599,0.8145841956138611,0.5389692783355713,0.5926029682159424,0.6186613440513611,0.6231805086135864
17,0.27738383412361145,0.36299294233322144,0.4112614691257477,0.4528176188468933,0.46804454922676086,0.4729290306568146,0.5027092695236206,0.5370809435844421,0.5875656008720398,0.6519647240638733,0.7198273539543152,0.7809197306632996,0.8293758034706116,0.8701565265655518,0.9123485088348389,0.9418923258781433,0.9701700806617737,1.0,0.9757820963859558,0.9449245929718018,0.8489238023757935,0.5502331256866455,0.6073906421661377,0.6351870894432068,0.6394269466400146
18,0.26276829838752747,0.3415791690349579,0.3902137577533722,0.4318883419036865,0.4498980641365051,0.4569794833660126,0.48794230818748474,0.5215733051300049,0.5691736340522766,0.6324498653411865,0.6977601051330566,0.7544761300086975,0.7985847592353821,0.8370206952095032,0.8819457292556763,0.9112853407859802,0.9417627453804016,0.9757820963859558,1.0000001192092896,0.9738340377807617,0.8752585649490356,0.5452249646186829,0.6066724061965942,0.6365044713020325,0.6407410502433777
19,0.26456910371780396,0.33758386969566345,0.3846224844455719,0.424391508102417,0.44123172760009766,0.44900938868522644,0.4801376760005951,0.5118488073348999,0.5573816895484924,0.6194897294044495,0.6820669770240784,0.7336586713790894,0.7737005352973938,0.8078609704971313,0.8532494902610779,0.876702606678009,0.90658038854599,0.9449245929718018,0.9738340377807617,1.0000001192092896,0.9134776592254639,0.5777998566627502,0.6363760232925415,0.666854977607727,0.6707991361618042
20,0.26373565196990967,0.32445305585861206,0.37866100668907166,0.42874112725257874,0.44511425495147705,0.46269840002059937,0.5002020001411438,0.52597975730896,0.5662047863006592,0.6319210529327393,0.6850193738937378,0.7123845815658569,0.736442506313324,0.7558256387710571,0.7953982353210449,0.7825080156326294,0.8145841956138611,0.8489238023757935,0.8752585649490356,0.9134776592254639,0.9999998807907104,0.7624112367630005,0.8158850073814392,0.8407410383224487,0.8433379530906677
