sample_id,pair_id,source_image_id,target_image_id,source_concept,target_concept
pair_00_00,pair_00,000000092688,000000089988,statue,juice
pair_00_01,pair_00,000000021922,000000051138,statue,juice
pair_00_02,pair_00,000000078682,000000062452,statue,juice
pair_00_03,pair_00,000000061596,000000084201,statue,juice
pair_00_04,pair_00,000000025893,000000072171,statue,juice
pair_00_05,pair_00,000000047860,000000070229,statue,juice
pair_00_06,pair_00,000000047320,000000052900,statue,juice
pair_00_07,pair_00,000000068580,000000037223,statue,juice
pair_00_08,pair_00,000000024313,000000096133,statue,juice
pair_00_09,pair_00,000000053940,000000041307,statue,juice
pair_00_10,pair_00,000000088161,000000062357,statue,juice
pair_00_11,pair_00,000000058782,000000011951,statue,juice
pair_00_12,pair_00,000000075906,000000079492,statue,juice
pair_00_13,pair_00,000000012220,000000037990,statue,juice
pair_00_14,pair_00,000000027860,000000045722,statue,juice
pair_00_15,pair_00,000000027085,000000031104,statue,juice
pair_01_00,pair_01,000000088910,000000054952,beach,woman
pair_01_01,pair_01,000000001482,000000075240,beach,woman
pair_01_02,pair_01,000000094415,000000047205,beach,woman
pair_01_03,pair_01,000000000970,000000046088,beach,woman
pair_01_04,pair_01,000000079229,000000045845,beach,woman
pair_01_05,pair_01,000000086089,000000079600,beach,woman
pair_01_06,pair_01,000000087957,000000037680,beach,woman
pair_01_07,pair_01,000000027604,000000095585,beach,woman
pair_01_08,pair_01,000000014852,000000089820,beach,woman
pair_01_09,pair_01,000000041938,000000082901,beach,woman
pair_01_10,pair_01,000000056766,000000096372,beach,woman
pair_01_11,pair_01,000000092780,000000041469,beach,woman
pair_01_12,pair_01,000000020768,000000016127,beach,woman
pair_01_13,pair_01,000000005931,000000080032,beach,woman
pair_01_14,pair_01,000000046015,000000048916,beach,woman
pair_01_15,pair_01,000000065467,000000031166,beach,woman
pair_02_00,pair_02,000000002355,000000073745,pumpkin,sprinkle
pair_02_01,pair_02,000000081329,000000066744,pumpkin,sprinkle
pair_02_02,pair_02,000000003556,000000083195,pumpkin,sprinkle
pair_02_03,pair_02,000000054078,000000011756,pumpkin,sprinkle
pair_02_04,pair_02,000000063659,000000071029,pumpkin,sprinkle
pair_02_05,pair_02,000000062403,000000027838,pumpkin,sprinkle
pair_02_06,pair_02,000000005382,000000053425,pumpkin,sprinkle
pair_02_07,pair_02,000000000081,000000040581,pumpkin,sprinkle
pair_02_08,pair_02,000000054841,000000048533,pumpkin,sprinkle
pair_02_09,pair_02,000000043059,000000069223,pumpkin,sprinkle
pair_02_10,pair_02,000000084238,000000043494,pumpkin,sprinkle
pair_02_11,pair_02,000000089940,000000009170,pumpkin,sprinkle
pair_02_12,pair_02,000000091952,000000051401,pumpkin,sprinkle
pair_02_13,pair_02,000000020581,000000046293,pumpkin,sprinkle
pair_02_14,pair_02,000000048835,000000032843,pumpkin,sprinkle
pair_02_15,pair_02,000000021019,000000098125,pumpkin,sprinkle
pair_03_00,pair_03,000000078311,000000069392,tent,bike
pair_03_01,pair_03,000000033234,000000068528,tent,bike
pair_03_02,pair_03,000000007144,000000045515,tent,bike
pair_03_03,pair_03,000000023446,000000078732,tent,bike
pair_03_04,pair_03,000000002358,000000048470,tent,bike
pair_03_05,pair_03,000000042822,000000017394,tent,bike
pair_03_06,pair_03,000000071629,000000062024,tent,bike
pair_03_07,pair_03,000000020794,000000079138,tent,bike
pair_03_08,pair_03,000000098342,000000052965,tent,bike
pair_03_09,pair_03,000000099563,000000049266,tent,bike
pair_03_10,pair_03,000000046196,000000024504,tent,bike
pair_03_11,pair_03,000000020683,000000004853,tent,bike
pair_03_12,pair_03,000000092597,000000078458,tent,bike
pair_03_13,pair_03,000000052160,000000046046,tent,bike
pair_03_14,pair_03,000000001195,000000027508,tent,bike
pair_03_15,pair_03,000000004635,000000083785,tent,bike
pair_04_00,pair_04,000000014872,000000083101,bread,cabinet
pair_04_01,pair_04,000000012928,000000026844,bread,cabinet
pair_04_02,pair_04,000000011943,000000078820,bread,cabinet
pair_04_03,pair_04,000000049542,000000084640,bread,cabinet
pair_04_04,pair_04,000000095177,000000060636,bread,cabinet
pair_04_05,pair_04,000000034792,000000001431,bread,cabinet
pair_04_06,pair_04,000000078169,000000093055,bread,cabinet
pair_04_07,pair_04,000000090117,000000026943,bread,cabinet
pair_04_08,pair_04,000000023469,000000034279,bread,cabinet
pair_04_09,pair_04,000000040240,000000059651,bread,cabinet
pair_04_10,pair_04,000000016070,000000056257,bread,cabinet
pair_04_11,pair_04,000000029893,000000060711,bread,cabinet
pair_04_12,pair_04,000000007687,000000093660,bread,cabinet
pair_04_13,pair_04,000000081379,000000082927,bread,cabinet
pair_04_14,pair_04,000000031183,000000026472,bread,cabinet
pair_04_15,pair_04,000000048749,000000051526,bread,cabinet
pair_05_00,pair_05,000000020298,000000038604,drink,men
pair_05_01,pair_05,000000024862,000000063828,drink,men
pair_05_02,pair_05,000000067436,000000053498,drink,men
pair_05_03,pair_05,000000086435,000000068750,drink,men
pair_05_04,pair_05,000000047894,000000099177,drink,men
pair_05_05,pair_05,000000031911,000000006050,drink,men
pair_05_06,pair_05,000000062021,000000089128,drink,men
pair_05_07,pair_05,000000042330,000000030098,drink,men
pair_05_08,pair_05,000000001570,000000073686,drink,men
pair_05_09,pair_05,000000010803,000000093260,drink,men
pair_05_10,pair_05,000000069475,000000076284,drink,men
pair_05_11,pair_05,000000002777,000000040504,drink,men
pair_05_12,pair_05,000000057446,000000094582,drink,men
pair_05_13,pair_05,000000092287,000000021170,drink,men
pair_05_14,pair_05,000000054154,000000093049,drink,men
pair_05_15,pair_05,000000012881,000000062142,drink,men
pair_06_00,pair_06,000000025778,000000082821,tea,food
pair_06_01,pair_06,000000068295,000000092815,tea,food
pair_06_02,pair_06,000000049830,000000008415,tea,food
pair_06_03,pair_06,000000096528,000000026257,tea,food
pair_06_04,pair_06,000000018349,000000092786,tea,food
pair_06_05,pair_06,000000098425,000000053999,tea,food
pair_06_06,pair_06,000000076760,000000037135,tea,food
pair_06_07,pair_06,000000079094,000000014923,tea,food
pair_06_08,pair_06,000000012021,000000067843,tea,food
pair_06_09,pair_06,000000092755,000000079566,tea,food
pair_06_10,pair_06,000000020583,000000006820,tea,food
pair_06_11,pair_06,000000097252,000000073740,tea,food
pair_06_12,pair_06,000000071593,000000062542,tea,food
pair_06_13,pair_06,000000068048,000000078726,tea,food
pair_06_14,pair_06,000000043275,000000086414,tea,food
pair_06_15,pair_06,000000074305,000000062115,tea,food
pair_07_00,pair_07,000000030247,000000047385,santa,pancake
pair_07_01,pair_07,000000072873,000000029604,santa,pancake
pair_07_02,pair_07,000000002335,000000056599,santa,pancake
pair_07_03,pair_07,000000008240,000000070453,santa,pancake
pair_07_04,pair_07,000000050168,000000020920,santa,pancake
pair_07_05,pair_07,000000046765,000000059886,santa,pancake
pair_07_06,pair_07,000000032778,000000000814,santa,pancake
pair_07_07,pair_07,000000005935,000000015806,santa,pancake
pair_07_08,pair_07,000000015921,000000035078,santa,pancake
pair_07_09,pair_07,000000048728,000000028080,santa,pancake
pair_07_10,pair_07,000000063621,000000094816,santa,pancake
pair_07_11,pair_07,000000093288,000000098061,santa,pancake
pair_07_12,pair_07,000000095234,000000035093,santa,pancake
pair_07_13,pair_07,000000094928,000000053068,santa,pancake
pair_07_14,pair_07,000000052077,000000006557,santa,pancake
pair_07_15,pair_07,000000029530,000000089198,santa,pancake
pair_08_00,pair_08,000000044759,000000097455,table,bus
pair_08_01,pair_08,000000085737,000000067599,table,bus
pair_08_02,pair_08,000000065861,000000045558,table,bus
pair_08_03,pair_08,000000092067,000000054908,table,bus
pair_08_04,pair_08,000000068067,000000005147,table,bus
pair_08_05,pair_08,000000024150,000000010146,table,bus
pair_08_06,pair_08,000000020702,000000011447,table,bus
